n_components,accuracy,time_seconds
2,0.6,214.983
12,0.553,5894.675
22,0.579,1997.135
32,0.584,2122.804
42,0.484,3843.347
52,0.531578947368421,3272.9690959453583
62,0.531578947368421,2442.990509033203
72,0.5,785.9092791080475
82,0.5578947368421052,31.80494213104248
92,0.5473684210526316,0.32974982261657715
102,0.5157894736842106,0.2034289836883545
112,0.5421052631578948,0.1436622142791748
122,0.5473684210526316,0.14970111846923828
132,0.5263157894736842,0.12254595756530762
142,0.5789473684210527,0.10253405570983887
152,0.5631578947368421,0.12976694107055664
162,0.5578947368421052,0.09587287902832031
172,0.5526315789473685,0.09652924537658691
182,0.5736842105263158,0.0969080924987793
192,0.5736842105263158,0.0970907211303711
